MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"GJ   802 b" 0 "GJ   802 b|WDS J20433+5521B" 0 0 0 "20 43 19.4" "+55 20 52" "Brown Dwarf (M<0.08solMass)" 0 0.0 0.0 0.0
"GJ   802 A" 0 "GJ   802 A|WDS J20433+5521A" 0 0 0 "20 43 19.21" "+55 20 52.1" Star 0 0.0 0.0 0.0
"GJ   758 C" 0 "GJ   758 C" 0 0 0 "19 23 34.0126" "+33 13 19.078" Star 0 0.0 0.0 0.0
"GJ   758 B" 0 "GJ   758 B" 0 0 0 "19 23 34.0126" "+33 13 19.078" "Brown Dwarf (M<0.08solMass)" 0 63.45 0.0 0.0
"GJ   740.1 B" 0 "GJ   740.1 B|WDS J19027-0043B" 0 0 0 "19 02 46.15" "-00 42 41.9" Star G5V 0.0 0.0 0.0
"GJ   676 Ae" 0 "GJ   676 Ae" 0 0 0 "17 30 11.2034" "-51 38 13.104" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   676 Ad" 0 "GJ   676 Ad" 0 0 0 "17 30 11.2034" "-51 38 13.104" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   676 Ac" 0 "GJ   676 Ac" 0 0 0 "17 30 11.2034" "-51 38 13.104" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   676 Ab" 0 "GJ   676 Ab" 0 0 0 "17 30 11.2034" "-51 38 13.104" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   660.1 B" 0 "2MASS J17125121-0507249|** SCE    1B|GJ   660.1 B|PPMX J171251.2-050725|USNO-B1.0 0848-00313387|WDS J17129-0508B" 0 0 0 "17 12 51.211" "-05 07 24.97" "Brown Dwarf (M<0.08solMass)" 0 50.1 0.0 0.0
"GJ   649 b" 0 "GJ   649 b" 0 0 0 "16 58 08.8503" "+25 44 38.988" "Extra-solar Confirmed Planet" 0 97.28 0.0 0.0
"GJ   628 d" 0 "GJ   628 d|Wolf 1061d" 0 0 0 "16 30 18.0580" "-12 39 45.323" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   628 c" 0 "GJ   628 c|Wolf 1061c" 0 0 0 "16 30 18.0580" "-12 39 45.323" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   628 b" 0 "GJ   628 b|Wolf 1061b" 0 0 0 "16 30 18.0580" "-12 39 45.323" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   628 B" 0 "GJ   628 B|WDS J16303-1240B|Zkh 228" 0 0 0 "16 30.3" "-12 39" Star M5V 0.0 0.0 0.0
"GJ   625 b" 0 "GJ   625 b" 0 0 0 "16 25 24.6232" "+54 18 14.762" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ   618.1 B" 0 "2MASS J16202614-0416315|** WIL    3B|DENIS J162026.1-041631|GJ   618.1 B|2MASSW J1620261-041631|2MUCD 20665|WDS J16204-0416B" 0 0 0 "16 20 26.147" "-04 16 31.55" "Brown Dwarf (M<0.08solMass)" L2.4V 32.97 0.0 0.0
"GJ   577 C" 0 "GJ   577 C|WDS J15058+6403B" 0 0 0 "15 05 49.5" "+64 02 49" Star M5V 0.0 0.0 0.0
"GJ   577 A" 0 "GJ   577 A|WDS J15058+6403Aa" 0 0 0 "15 05 50.07" "+64 02 49.0" Star 0 0.0 0.0 0.0
"GJ   163 d" 0 "GJ   163 d" 0 0 0 "04 09 15.6635" "-53 22 25.305" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   163 c" 0 "GJ   163 c" 0 0 0 "04 09 15.6635" "-53 22 25.305" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   163 b" 0 "GJ   163 b" 0 0 0 "04 09 15.6635" "-53 22 25.305" "Extra-solar Confirmed Planet" 0 66.59 0.0 0.0
"BD-15  6290c" 0 "BD-15  6290c|GJ   876 c" 0 0 0 "22 53 16.7335" "-14 15 49.318" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"BD-15  6290b" 0 "BD-15  6290b|GJ   876 b" 0 0 0 "22 53 16.7335" "-14 15 49.318" "Extra-solar Confirmed Planet" 0 214.45 0.0 0.0
"BD-07  4003g" 0 "BD-07  4003g|GJ   581 g" 0 0 0 "15 19 26.823" "-07 43 20.21" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"BD-07  4003f" 0 "BD-07  4003f|GJ   581 f" 0 0 0 "15 19 26.823" "-07 43 20.21" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
