MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"M  87" "NAME Virgo Galaxy" "M  87|1A 1228+12|2A 1228+125|3A 1228+125|ACSVCS 2|APG 152|BWE 1228+1240|3C 274.0|3C 274|4C 12.45|3CR 274|CTA  54|Cul 1228+126|Cul 1228+12|DA 325|DB  85|2E  2744|2E 1228.2+1240|1ES 1228+12.6|2EUVE J1230+12.3|EUVE J1230+12.3|EVCC 786|1FGL J1230.8+1223|2FGL J1230.8+1224|3FGL J1230.9+1224|1FHL J1230.8+1224|2FHL J1230.8+1225|GALEX J123049.4+122328|GB6 B1228+1240|GB6 J1230+1223|87GB 122819.0+124029|GIN 800|1H 1226+128|H 1228+127|H 1227+12|ICRF J123049.4+122328|IERS B1228+126|IGR J12310+1221|IRAS F12282+1240|IRAS 12282+1240|1Jy 1228+12|1Jy 1228+126|LEDA   41361|1M 1228+127|2MASX J12304942+1223279|MCG+02-32-105|Mills 12+1A|MRC 1228+126|NAME Virgo Galaxy|NAME Virgo A|NAME Vir A|NAME M 87*|NAME SMOKING GUN|NEWPS5 J1230+1223|NGC  4486|NRAO 401|NRL  8|NVSS J123049+122321|NVSS B122817+124004|NVSS J123049+122323|PCCS1 545 G283.76+74.47|PCCS1 857 G283.74+74.48|PKS J1230+1223|PKS 1228+12|PKS 1228+126|PKS 1228+127|QSO B1228+126|RGB J1230+123|RORF 1228+126|RX J1230.8+1223|RX J1230.1+1223|SDSS J123047.55+122318.0|SDSS J123049.41+122328.1|SIM 1228+06.0|TeV J1230+123|2U 1228+12|3U 1228+12|4U 1228+12|UGC  7654|UZC J123049.3+122327|VCC 1316|VER J1230+123|VPC  771|VSOP J1230+1223|WMAP J1230+1223|WMAP 165|XSS J12309+1223|X Vir X-1|X Vir XR-1|Z  70-139|Z 1228.3+1240|[BEC2010] HRS 183|[CAB95] IRAS F12282+1240|[CHM2007] HDC  720 J123049.42+1223279|[CHM2007] LDC  904 J123049.42+1223279|[DC78] UGC  7654|[DGW65]  57|[DLB87] V12|[DML87] 747|[DSB94] 254|[FWB89] Galaxy 270|[GW2008] CoNFIG 139|[PT56] 24|[TH2002]   1|[VDD93] 163|[VV2000c] J123049.5+122328|[VV2003c] J123049.5+122328|[VV2006c] J123049.5+122328|[VV2010c] J123049.5+122328|[VV98c] J123049.5+122328|[WCO2009] J123049+122256" "NGC 4486" "M 87" "" "12 30 49.4233" "+12 23 28.043" "LINER-type Active Galaxy Nucleus" "" "" 0.0042000 8.630000114440918 16.5200 Mpc ""
"M  88" "" "M  88|ALFALFA 1-339|BWE 1229+1441|2E 1229.4+1442|2E  2758|EQ 1229+146|EVCC 2153|GB6 B1229+1441|87GB 122926.9+144138|HIPASS J1231+14|INTREF   503|IRAS 12294+1441|IRAS F12294+1441|LEDA   41517|2MASX J12315921+1425134|MCG+03-32-059|MITG J123159+1425|NGC  4501|NVSS B122927+144138|NVSS J123158+142505|PCCS1 545 G282.29+76.51|PCCS1 857 G282.29+76.51|PSCz Q12294+1441|UGC  7675|UZC J123159.1+142515|VCC 1401|VPC  840|WB 1229+1441|WSTB 29W39|Z 1229.4+1442|Z  99-76|[BEC2010] HRS 190|[CAB95] IRAS F12294+1441|[CHM2007] LDC  904 J123159.21+1425134|[CHM2007] HDC  720 J123159.21+1425134|[DSB94] 300|[M98c] 122928.1+144150|[NKB95] N4501|[VV2000c] J123159.3+142513|[VV2003c] J123159.3+142513|[VV2006c] J123159.3+142513|[VV2010c] J123159.3+142513|[VV98c] J123159.5+142517|[YOF95] 178" "NGC 4501" "M 88" "" "12 31 59.216" "+14 25 13.48" "Seyfert 2 Galaxy" "" "" 0.0076020 13.180000305175781 20.9000 Mpc T-F
"M  89" "" "M  89|ACSVCS 10|BWE 1233+1248|CLASS J123539.8106+123322.832|2E  2786|2E 1233.1+1249|EVCC 2176|FIRST J123539.8+123322|GB6 B1233+1249|87GB 123307.1+124854|LEDA   41968|2MASX J12353988+1233217|MCG+02-32-149|MITG J123537+1233|NGC  4552|NVSS B123308+124953|NVSS J123539+123322|REX J1235.6+1232|RX J123539.7+123328|RX J1235.6+1233|SDSS J123539.80+123322.8|UGC  7760|UZC J123539.9+123324|VCC 1632|VPC 1012|Z  70-184|Z 1233.1+1250|[BEC2010] HRS 211|[BFA97] 124|[CHM2007] HDC  720 J123539.88+1233217|[CHM2007] LDC  904 J123539.88+1233217|[DC78] UGC  7760|[DLB87] V15|[FWB89] Galaxy 274|[TBH2001] PSPC 18|[TH2002]   9|[VV2000c] J123540.0+123323|[VV2003c] J123540.0+123323|[VV2006c] J123540.0+123323|[VV2010c] J123540.0+123323" "NGC 4552" "M 89" "" "12 35 39.8" "+12 33 23" "LINER-type Active Galaxy Nucleus" "" "" 0.0009140 9.75 9.1000 Mpc ""
"M  90" "" "M  90|ALFALFA 1-370|APG  76|1E 1234.2+1326|EQ 1234+134|EVCC 2184|IRAS 12343+1326|IRAS F12343+1326|ISOSS J12368+1311|LEDA   42089|LJHY  39|2MASX J12364981+1309463|MCG+02-32-155|NGC  4569|NVSS B123418+132627|PCCS1 545 G288.44+75.62|PCCS1 857 G288.41+75.62|PSCz Q12343+1326|RX J123650+13092|RX J123649.7+130947|RX J1236.8+1309|SDSS J123649.79+130946.6|UGC  7786|UZC J123649.7+130946|VCC 1690|VPC 1082|Z  70-192|Z 1234.3+1326|[BEC2010] HRS 217|[CHM2007] HDC  720 J123649.81+1309463|[CHM2007] LDC  904 J123649.81+1309463|[DSB94] 236|[M98c] 123418.7+132618|[RW2000] NGC  4569 X-1|[SLK2004] 724|[TBH2001] HRI 6|[TBH2001] PSPC 14|[THP2000] NGC  4569 0|[VDD93] 166|[VV2000c] J123649.9+130950|[VV2003c] J123649.9+130950|[VV2006c] J123649.9+130950|[VV2010c] J123649.9+130950|[VV98c] J123649.9+130950|[YOF95] 206" "NGC 4569" "M 90" "" "12 36 49.816" "+13 09 46.33" "Seyfert 2 Galaxy" "" "" -0.0007840 9.539999961853027 16.5000 Mpc redshift
"M  91" "" "M  91|ALFALFA 1-361|EVCC 2174|IRAS 12328+1446|IRAS F12329+1446|LEDA   41934|2MASX J12352642+1429467|MCG+03-32-075|NGC  4548|PCCS1 545 G285.69+76.83|PCCS1 857 G285.72+76.81|PSCz Q12328+1446|SDSS J123526.44+142946.8|UGC  7753|UZC J123526.5+142948|VCC 1615|VPC  995|Z  99-96|Z 1232.9+1446|[BEC2010] HRS 208|[CHM2007] HDC  720 J123526.42+1429467|[CHM2007] LDC  904 J123526.42+1429467|[DSB94] 298|[M98c] 123255.1+144620|[VV2003c] J123526.5+143024|[VV2006c] J123526.5+143024|[VV2010c] J123526.5+143024|[YOF95] 199" "NGC 4548" "M 91" "" "12 35 26.430" "+14 29 46.75" "LINER-type Active Galaxy Nucleus" "" "" 0.0016440 13.569999694824219 16.2000 Mpc T-F
"M  92" "" "M  92|C 1715+432|GCl  59|NGC  6341|[KPS2012] MWSC 2557" "NGC 6341" "M 92" "" "17 17 07.39" "+43 08 09.4" "Globular Cluster" "" "" -0.0003890 6.519999980926514 0.0080 Mpc ""
"NGC  2447" "" "M  93|C 0742-237|Cl Collinder  160|NGC  2447|OCl  649.0|[KPR2004b] 163|[KPS2012] MWSC 1324" "NGC 2447" "M 93" "" "07 44 30" "-23 51.4" "Open (galactic) Cluster" "" "" 0.0001070 6.199999809265137 1037.0000 pc ST-L
"M  94" "" "M  94|1AXG J125055+4107|B3 1248+413|BWE 1248+4123|6C 124830+412321|7C 124831.39+412324.00|GB6 B1248+4123|87GB 124832.4+412354|IRAS 12485+4123|IRAS F12485+4123|LEDA   43495|2MASX J12505314+4107125|MCG+07-26-058|MY 124830.0+410714.9|MY 124830.0+412333.5|NGC  4736|NVSS J125053+410708|PSCz Q12485+4123|QDOT B1248318+412334|RBS  1168|RGB J1250+411|RGB J1250.9+4107|RX J1250.8+4107|1RXS J125052.5+410713|UGC  7996|UZC J125053.0+410715|WB 1248+4123|WN B1248.5+4123|2XMM J125053.0+410714|Z 217-1|Z 216-34|Z 1248.5+4123|[CAB95] IRAS F12485+4123|[CHM2007] HDC  706 J125053.14+4107125|[CHM2007] LDC  867 J125053.14+4107125|[LLJ2000] NGC  4736 X3|[M98c] 124832.4+412328|[NKB95] N4736|[RW2000] NGC  4736 X-4|[RWO99] NGC 4736 X9|[VDD93] 173|[VV2000c] J125052.7+410710|[VV2003c] J125052.7+410710|[VV2006c] J125052.7+410710|[VV2010c] J125052.7+410710|[VV98c] J125053.2+410718|[ZEH2003] RX J1250.8+4107  1" "NGC 4736" "M 94" "" "12 50 53.148" "+41 07 12.55" "Seyfert Galaxy" "" "" 0.0009600 8.239999771118164 4.5900 Mpc ""
"M  95" "" "M  95|ALFALFA 5-309|HIPASS J1044+11|IRAS F10413+1157|IRAS 10413+1158|LEDA   32007|2MASX J10435773+1142129|MCG+02-28-001|NGC  3351|PSCz Q10413+1158|SDSS J104357.69+114213.6|TC 726|UGC  5850|UZC J104357.8+114214|Z  66-4|Z 1041.4+1158|[CHM2007] HDC  626 J104357.73+1142129|[CHM2007] LDC  778 J104357.73+1142129|[FS90] Leo  7|[M98c] 104119.6+115800|[VDD93] 120" "NGC 3351" "M 95" "" "10 43 57.733" "+11 42 13.00" "Galaxy in Pair of Galaxies" "" "" 0.0025600 9.729999542236328 309.8000 pc ST-L
"M  96" "" "M  96|ALFALFA 5-321|EQ 1044+120|HIPASS J1046+11|IRAS 10441+1205|IRAS F10441+1205|JCMTSE J104645.8+114914|JCMTSF J104645.8+114914|LEDA   32192|2MASX J10464574+1149117|MCG+02-28-006|NGC  3368|PSCz Q10441+1205|SDSS J104645.67+114911.8|TC 532|UGC  5882|UZC J104645.9+114926|Z  66-13|Z 1044.1+1205|[CHM2007] HDC  626 J104645.74+1149117|[CHM2007] LDC  778 J104645.74+1149117|[FS90] Leo 19|[M98c] 104406.9+120505|[N93]  50|[VDD93] 122" "NGC 3368" "M 96" "" "10 46 45.744" "+11 49 11.78" "Galaxy in Pair of Galaxies" "" "" 0.0030120 9.25 11.5000 Mpc T-F
"M  97" "NAME Owl Nebula" "M  97|AG82 135|BWE 1111+5517|CSI+55-11119|2EUVE J1114+55.0|EUVE J1114+55.0|GB6 B1111+5517|87GB 111154.0+551728|GCRV  6897|IRAS F11118+5517|IRAS 11119+5517|LJHY   9|2MASS J11144772+5501085|NAME Owl Nebula|NGC  3587|PK 148+57  1|PN G148.4+57.0|PN VV   59|PN VV'  107|PN ARO   25|PSCz P11119+5517|SDSS J111447.71+550108.4|SDSS J111447.70+550108.7|WD 1111+552" "NGC 3587" "M 97" "" "11 14 47.701" "+55 01 08.72" "Planetary Nebula" "" "" 0.0000000 15.777000427246094 621.0000 pc ""
"M  98" "" "M  98|ALFALFA 1-177|CAIRNS J121348.28+145401.2|1E 1211.2+1510|EVCC 188|INTREF   480|IRAS F12112+1510|IRAS 12112+1510|ISOSS J12138+1453|LEDA   39028|2MASX J12134829+1454016|MCG+03-31-079|2MFGC 9627|NGC  4192|NVSS B121115+151032|PCCS1 545 G265.43+74.97|PCCS1 857 G265.42+74.97|PSCz Q12112+1510|SDSS J121347.34+145356.9|SDSS J121348.28+145401.6|UGC  7231|UZC J121348.2+145400|VCC   92|Z  98-108|Z 1211.2+1510|[BEC2010] HRS  91|[CHM2007] HDC  708 J121348.29+1454016|[CHM2007] LDC  904 J121348.29+1454016|[DSB94] 113|[M98c] 121115.4+151023|[SLK2004] 670|[THP2000] NGC  4192 0|[VV2000c] J121348.3+145402|[VV2003c] J121348.3+145402|[VV2006c] J121348.3+145402|[VV2010c] J121348.3+145402|[VV98c] J121348.3+145402|[YOF95]  30|[YWP2010] 183.451+14.901" "NGC 4192" "M 98" "" "12 13 48.292" "+14 54 01.69" "LINER-type Active Galaxy Nucleus" "" "" -0.0004000 10.140000343322754 16.5000 Mpc redshift
"M  99" "NAME Virgo Cluster Pinwheel" "M  99|ALFALFA 1-248|BWE 1216+1442|CAIRNS J121849.56+142459.4|2E  2650|2E 1216.3+1441|EVCC 319|GB6 B1216+1442|87GB 121618.2+144207|HIPASS J1218+14|IRAS F12163+1441|IRAS 12162+1441|JCMTSE J121849.6+142502|LEDA   39578|2MASX J12184962+1424593|MCG+03-31-099|MITG J121849+1424|MRC 1216+146|NAICGB 1216+147|NAME Virgo Cluster Pinwheel|NAME Coma Pinwheel|NGC  4254|NVSS J121850+142450|NVSS B121617+144129|PCCS1 545 G270.36+75.19|PCCS1 857 G270.45+75.20|PSCz Q12162+1441|1RXS J121853.8+142602|SDSS J121849.60+142459.4|UGC  7345|UZC J121849.6+142501|VCC  307|VLSS J1218.8+1424|WB 1216+1442|Z  98-144|Z  99-11|Z 1216.3+1442|[BEC2010] HRS 102|[CAB95] IRAS F12163+1441|[CHM2007] HDC  702 J121849.62+1424593|[CHM2007] LDC  904 J121849.62+1424593|[DSB94] 308|[M98c] 121616.9+144146|[NKB95] N4254|[VDD93] 153|[YOF95]  67" "NGC 4254" "M 99" "" "12 18 49.625" "+14 24 59.36" "HII Galaxy" "" "" 0.0080360 9.869999885559082 13.8700 Mpc ""
"M 100" "" "M 100|ALFALFA 1-289|BWE 1220+1605|CAIRNS J122254.89+154920.7|1E 1220.4+1605|2E 1220.3+1605|2E  2684|EVCC 467|GB6 B1220+1605|87GB 122023.7+160528|HIPASS J1222+15|IRAS F12203+1605|IRAS 12204+1605|KUG 1220+160|LEDA   40153|2MASX J12225489+1549205|MCG+03-32-015|MITG J122256+1549|NGC  4321|NVSS B122022+160601|PCCS1 545 G271.16+76.88|PCCS1 857 G271.17+76.89|PSCz Q12204+1605|1RXS J122256.0+154923|SDSS J122254.91+154920.2|UGC  7450|UZC J122255.0+154922|VCC  596|WB 1220+1605|Z 1220.4+1606|Z  99-30|[BEC2010] HRS 122|[BFA97]  31|[CAB95] IRAS F12203+1605|[CHM2007] LDC  904 J122254.89+1549205|[CHM2007] HDC  720 J122254.89+1549205|[DC78] UGC  7450|[DSB94] 294|[GCS2005] J122254.91+154919.9|[IPA98] E7|[IPA98] H23|[M98c] 122023.2+160600|[TH2002]   6|[VDD93] 156|[YOF95] 102" "NGC 4321" "M 100" "" "12 22 54.899" "+15 49 20.57" "Active Galaxy Nucleus" "" "" 0.0052500 9.350000381469727 13.9300 Mpc ""
"M 101" "NAME Pinwheel" "M 101|APG  26|IRAS F14012+5434|IRAS 14013+5435|K73  610|LEDA   50063|2MASX J14031258+5420555|MCG+09-23-028|NAME Pinwheel|NGC  5457|PSCz Q14013+5435|SDSS J140312.52+542056.2|SPB 243|TC 302|UGC  8981|UZC J140312.5+542056|VV  344a|VV  456|VV  344|Z 272-21|Z 1401.5+5435|[CHM2007] HDC  853 J140312.58+5420555|[CHM2007] LDC  842 J140312.58+5420555|[M98c] 140126.6+543525" "NGC 5457" "M 101" "" "14 03 12.583" "+54 20 55.50" "Interacting Galaxies" "" "" 0.0008110 7.860000133514404 6.9500 Mpc ""
"M 102" "" "M 102|1E 1505.1+5557|IRAS 15051+5557|IRAS F15051+5557|JCMTSE J150629.2+554546|JCMTSF J150629.2+554552|LEDA   53933|2MASX J15062956+5545479|MCG+09-25-017|NGC  5866|PSCz Q15051+5557|SDSS J150629.63+554549.1|UGC  9723|UZC J150629.4+554548|Z 274-16|Z 1505.1+5557|[CHM2007] HDC  903 J150629.56+5545479|[CHM2007] LDC 1112 J150629.56+5545479|[VDD93] 203|[VV2003c] J150629.5+554548|[VV2006c] J150629.5+554548|[VV2010c] J150629.5+554548" "NGC 5866" "M 102" "" "15 06 29.561" "+55 45 47.91" "Seyfert Galaxy" "" "" 0.0025280 9.890000343322754 14.7200 Mpc ""
"M 103" "" "M 103|C 0129+604|NGC   581|OCISM  75|OCl  326|[KPR2004b]  18|[KPS2012] MWSC 0124" "NGC 581" "M 103" "" "01 33 23" "+60 39.0" "Open (galactic) Cluster" "" "" -0.0001350 7.400000095367432 2194.0000 pc ST-L
"M 104" "NAME Sombrero Galaxy" "M 104|AT20G J123959-113721|6dFGS gJ123959.4-113723|1E 1237.3-1120|2E  2814|2E 1237.3-1120|EQ 1237-113|ICRF J123959.4-113722|IERS B1237-113|IRAS 12373-1121|IRAS F12374-1120|JCMTSE J123959.3-113726|JCMTSF J123959.3-113726|LEDA   42407|2MASX J12395949-1137230|MCG-02-32-020|NAME Sombrero Galaxy|NAME Sombrero|NGC  4594|NVSS J123959-113723|PMN J1239-1137|1RXP J123959.2-113731|1RXS J123959.8-113725|UGCA 293|VCS4 J1239-1137|WISH B1237.3-1121|[CAB95] IRAS F12374-1120|[CHM2007] LDC  904 J123959.49-1137230|[DML87] 660|[M98c] 123723.3-112055|[NKB95] N4594|[VV2000c] J123959.3-113723|[VV2003c] J123959.3-113723|[VV2006c] J123959.3-113723|[VV2010c] J123959.3-113723|[VV98c] J123959.3-113723" "NGC 4594" "M 104" "" "12 39 59.4318" "-11 37 22.995" "LINER-type Active Galaxy Nucleus" "" "" 0.0036420 8.0 18.7000 Mpc ""
"M 105" "" "M 105|GIN 773|K79 33A|LEDA   32256|2MASX J10474959+1234538|MCG+02-28-011|NGC  3379|SDSS J104749.60+123453.9|UGC  5902|UZC J104749.6+123453|Z  66-18|Z 1045.2+1251|[CHM2007] HDC  626 J104749.59+1234538|[CHM2007] LDC  778 J104749.59+1234538|[FS90] Leo 25|[FWB89] Galaxy 208|[TT2002] Leo  2" "NGC 3379" "M 105" "" "10 47 49.600" "+12 34 53.87" "LINER-type Active Galaxy Nucleus" "" "" 0.0029220 9.760000228881836 17.2000 Mpc ""
"M 106" "" "M 106|B3 1216+475|7C 121635.39+473404.00|7C 121626.19+473526.00|7C 121620.39+473545.00|GB1 1216+476|GB6 B1216+4735|87GB 121625.0+473537|LEDA   39600|2MASX J12185761+4718133|MCG+08-22-104|MY 121625.0+471813.7|NGC  4258|OHIO N 427|PBC J1218.9+4718|1RXP J121856.4+471755|RX J1219.0+4717|RX J1218.9+4718|1RXS J121900.4+471747|SAX J1219.7+4721|SDSS J121857.50+471814.3|SWIFT J1218.9+4717|SWIFT J1219.4+4720|SWIFT J1219.0+4715|UGC  7353|UZC J121857.7+471820|VLSS J1218.9+4718|VV  448|WB 1216+4735|2XMM J121857.5+471814|XSS J12190+4715|Z 243-67|Z 244-3|Z 1216.5+4735|[BAG2012] 184.7378+47.2874|[CHM2007] HDC  706 J121857.61+4718133|[CHM2007] LDC  867 J121857.61+4718133|[CPF88] 121629.0+473500.0|[KRL2007b] 111|[M98c] 121629.7+473455|[NKB95] N4258|[VDD93] 154|[VV2000c] J121857.5+471814|[VV2003c] J121857.5+471814|[VV2006c] J121857.5+471814|[VV2010c] J121857.5+471814|[VV98c] J121857.5+471814|[ZEH2003] RX J1219.0+4717  1" "NGC 4258" "M 106" "" "12 18 57.620" "+47 18 13.39" "Seyfert 2 Galaxy" "" "" 0.0015410 8.40999984741211 7.2000 Mpc T-F
"M 107" "" "M 107|C 1629-129|GCl  44|NGC  6171|[KPS2012] MWSC 2422" "NGC 6171" "M 107" "" "16 32 31.86" "-13 03 13.6" "Globular Cluster" "" "" -0.0001130 8.850000381469727 0.0060 Mpc ""
"M 108" "" "M 108|BWE 1108+5556|6C 110835+555638|7C 110836.79+555641.00|GB6 B1108+5556|87GB 110837.4+555624|IRAS 11085+5556|IRAS F11085+5556|ISOSS J11116+5540|K73  469|LEDA   34030|LJHY   8|2MASX J11113096+5540268|MCG+09-18-098|2MFGC 8733|NGC  3556|NVSS J111130+554027|PSCz Q11085+5556|SDSS J111130.83+554027.5|SDSS J111131.06+554027.4|TC E17|TC 917|UGC  6225|UZC J111131.2+554025|WB 1108+5556|WN B1108.6+5556|Z 268-1|Z 267-48|Z 1108.5+5556|[CAB95] IRAS F11085+5556|[CHM2007] LDC  867 J111130.96+5540268|[M98c] 110836.8+555633|[NKB95] N3556|[SLK2004] 604|[VDD93] 128|AAVSO 1105+56" "NGC 3556" "M 108" "" "11 11 30.967" "+55 40 26.84" "Starburst Galaxy" "" "" 0.0023280 "" 8.8000 Mpc T-F
"M 109" "" "M 109|EQ 1155+536|IRAS 11549+5339|IRAS 11550+5339|LEDA   37617|2MASX J11573598+5322282|MCG+09-20-044|NGC  3992|PSCz Q11549+5339|SDSS J115735.97+532228.9|TC 755|TC E19|UGC  6937|UZC J115736.0+532229|Z 1155.0+5339|Z 269-23|[CHM2007] HDC  706 J115735.98+5322282|[CHM2007] LDC  867 J115735.98+5322282|[M98c] 115501.0+533913" "NGC 3992" "M 109" "" "11 57 35.984" "+53 22 28.27" "Galaxy in Group of Galaxies" "" "" 0.0034960 "" 29.0000 Mpc T-F
"M 110" "" "M 110|IRAS 00376+4124|ISOSS J00403+4140|LEDA    2429|2MASX J00402207+4141070|MCG+07-02-014|NGC   205|UGC   426|UZC J004022.0+414107|Z 535-14|Z 0037.6+4125|[CHM2007] LDC   31 J004022.07+4141070|[CHM2007] HDC   29 J004022.07+4141070|[FWB89] Galaxy   7|[M98c] 003738.7+412444|[SLK2004] 93" "NGC 205" "M 110" "" "00 40 22.075" "+41 41 07.08" "Galaxy in Group of Galaxies" "" "" -0.0008200 8.069999694824219 0.7000 Mpc ""
