MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"M  27" "NAME Dumbbell Nebula" "M  27|BD+22  3878|CSI+22-19572|2E  4308|2E 1957.4+2235|2EUVE J1959+22.7|EUVE J1959+22.7|GCRV 12336|Hen 2-452|IRAS 19574+2234|2MASX J19593637+2243157|NAME Dumbbell Nebula|NAME Diabolo Nebula|NGC  6853|PK 060-03  1|PK 060-03|PLX 4735|PLX 4735.00|PN G060.8-03.6|PN VV'  521|PN VV  246|PN ARO   14|RE J1959+224|RE J195935+224359|RX J1959.6+2243|1RXS J195936.2+224309|WD 1957+225" "NGC 6853" "M 27" "" "19 59 36.379" "+22 43 15.75" "Planetary Nebula" DAO.6 2.470 -0.0001400 14.08899974822998 259.0000 pc ST-L
"M  28" "" "M  28|C 1821-249|CD-24 14289|CPD-24  6385|GCl  94|GCRV 10873|HD 169199|NGC  6626|[KPS2012] MWSC 2908" "NGC 6626" "M 28" "HD 169199" "18 24 32.89" "-24 52 11.4" "Globular Cluster" "" "" 0.0000530 "" 0.0060 Mpc ""
"M  29" "" "M  29|C 2022+383|NGC  6913|OCISM  36|OCl  168|[KPR2004b] 488|[KPS2012] MWSC 3329" "NGC 6913" "M 29" "" "20 23 56" "+38 31.4" "Open (galactic) Cluster" "" "" -0.0000700 6.599999904632568 1148.0000 pc ST-L
"M  30" "" "M  30|C 2137-234|CD-23 17047|CPD-23  8016|GCl 122|GCRV 13607|HD 206107|NGC  7099|[KPS2012] MWSC 3543" "NGC 7099" "M 30" "HD 206107" "21 40 22.12" "-23 10 47.5" "Globular Cluster" "" "" -0.0006150 7.099999904632568 0.0070 Mpc ""
"M  31" "NAME Andromeda Nebula" "M  31|2C   56|DA  21|2FGL J0042.5+4114|3FGL J0042.5+4117|GIN 801|IRAS F00400+4059|IRAS 00400+4059|IRC +40013|K79  1C|LEDA    2557|2MASX J00424433+4116074|2MAXI J0043+412|MCG+07-02-016|NAME Andromeda Nebula|NAME Andromeda Galaxy|NAME Andromeda|NAME And Nebula|NGC   224|RAFGL  104|UGC   454|UZC J004244.3+411608|XSS J00425+4102|Z 535-17|Z 0040.0+4100|[DGW65]   4|[M98c] 004000.1+405943|[VV2000c] J004244.3+411610|[VV2003c] J004244.3+411610|[VV2006] J004244.3+411610|[VV2010] J004244.3+411610|[VV98c] J004245.1+411622" "NGC 224" "M 31" "" "00 42 44.330" "+41 16 07.50" Galaxy "" "" -0.0010000 3.440000057220459 731.0000 kpc Cep
"M  32" "" "M  32|AG+40   59|APG 168|Ark  12|BD+40   147|IRAS 00399+4035|K79  1B|LEDA    2555|2MASX J00424182+4051546|MCG+07-02-015|NGC   221|PPM  43225|RX J0042.6+4052|UGC   452|UZC J004241.8+405154|Z 535-16|Z 0039.9+4036|[CHM2007] LDC   31 J004241.82+4051546|[CHM2007] HDC   29 J004241.82+4051546|[FWB89] Galaxy   8|[M98c] 003957.7+403529" "NGC 221" "M 32" "" "00 42 41.825" "+40 51 54.61" "Interacting Galaxies" "" "" -0.0006640 8.079999923706055 0.7000 Mpc ""
"M  33" "NAME Triangulum Pinwheel" "M  33|1AXG J013351+3039|2E   409|2E 0131.0+3024|1ES 0131+30.3|HIJASS J0133+30|LEDA    5818|2MASX J01335090+3039357|MCG+05-04-069|NAME Triangulum Pinwheel|NAME Triangulum Galaxy|NGC   598|RBS   214|RX J013351+30399|1RXS J013350.9+303932|TC 906|UGC  1117|UZC J013351.1+303922|Z 0131.0+3024|Z 502-110|[CHM2007] LDC  160 J013350.90+3039357|[M98c] 013101.7+302415" "NGC 598" "M 33" "" "01 33 50.904" "+30 39 35.79" "Galaxy in Group of Galaxies" "" "" -0.0005980 5.71999979019165 0.9100 Mpc ""
"M  34" "" "M  34|C 0238+425|NGC  1039|OCl  382|[KPR2004b]  36|[KPS2012] MWSC 0223" "NGC 1039" "M 34" "" "02 42 05" "+42 45.7" "Open (galactic) Cluster" "" "" -0.0000560 5.199999809265137 499.0000 pc ST-L
"M  35" "" "M  35|C 0605+243|NGC  2168|OCl  466.0|[KPR2004b]  87|[KPS2012] MWSC 0754" "NGC 2168" "M 35" "" "06 08 54" "+24 20.0" "Open (galactic) Cluster" "" "" -0.0000170 5.099999904632568 1185.7690 pc ST-L
"M  36" "" "M  36|C 0532+341|NGC  1960|OCISM 103|OCl  445|[KPR2004b]  78|[KPS2012] MWSC 0594" "NGC 1960" "M 36" "" "05 36 18" "+34 08.4" "Open (galactic) Cluster" "" "" -0.0000040 6.0 1318.0000 pc ST-L
