MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V Distance_distance Distance_unit Distance_method
"GJ    11" "" "CCDM J00133+6919AB|** KUI    1|Ci 20   12|G 242-47|G 243-18|G 241-76|GJ    11|GSC 04294-00455|HIC   1068|HIP   1068|LFT   19|LHS  1040|LP   50-30|LSPM J0013+6919|LTT 10070|2MASS J00131578+6919372|PLX   32|USNO-B1.0 1593-00002804|WDS J00133+6919AB|[RHG95]    36" "" "" "" "00 13 15.8345" "+69 19 36.769" "Double or multiple star" M3 49.910 0.0000450 12.300000190734863 "" "" ""
"GJ    11 A" "" "NLTT   622A|** KUI    1A|CCDM J00133+6919A|CSI+69-00105  1|GJ    11 A|IDS 00076+6846 A|PM J00132+6919S|TYC 4294-455-1|WDS J00133+6919A" "" "" "" "00 13 15.823" "+69 19 36.77" "High proper-motion Star" M3.5Ve "" "" 13.3100004196167 "" "" ""
"GJ    11 B" "" "NLTT   622B|** KUI    1B|CCDM J00133+6919B|CSI+69-00105  2|GJ    11 B|IDS 00076+6846 B|PM J00132+6919N|USNO-B1.0 1593-00002806|WDS J00133+6919B|[RHG95]    37" "" "" "" "00 13 15.918" "+69 19 37.49" "High proper-motion Star" M3.0Ve "" "" 13.359999656677246 "" "" ""
"G  32-5" "" "LHS  1050|CSI+13-00132|G  32-5|G  30-55|GJ    12|LFT   23|L 1154-29|LP  464-42|LSPM J0015+1333|LTT 10083|2MASS J00154919+1333218|NLTT   786|PLX   42|PLX   42.00|PM J00158+1333|PM 00132+1316|UCAC4 518-000486|USNO-B1.0 1035-00002957|[RHG95]    43" "" "" "" "00 15 49.20" "+13 33 21.9" "High proper-motion Star" M4V 99.800 0.0001670 12.600000381469727 9.6000 pc ST-L
"HD   1273" "" "HD   1273|CD-53    36|CPC 19    66|CPD-53    42|GC   333|GCRV 50221|GEN# +1.00001273|GJ    13|HIC   1349|HIP   1349|LTT   132|2MASS J00165387-5239043|NLTT   852|PLX   46|PLX   46.00|PPM 330085|SAO 231987|SBC7     9|SBC9 11|SKY#   497|TYC 8464-828-1|UBV     194|UBV M   7267|uvby98 100001273|WEB   243|[AOP94]  2" "" "" "HD 1273" "00 16 53.8942" "-52 39 04.135" "Spectroscopic binary" G5VFe-1.2CH-0.9 44.250 -0.0000390 6.8520002365112305 22.6000 pc ST-L
"BD+40    45" "" "LHS  1053|ASCC  373491|BD+40    45|Ci 20   16|Cl* Melotte   25    EGG       1|Gaia DR1 383402900061374080|GCRV   146|GEN# +0.04000045|G 171-44|GJ    14|HIC   1368|HIP   1368|LFT   28|LSPM J0017+4056|LTT 10098|2MASS J00170635+4056538|MCC  84|NLTT   853|PLX   45|PLX   45.00|PM 00144+4040|Ross    5|1RXS J001705.7+405644|TYC 2786-906-1|UBV     192|UBV M   2969|UCAC2  45913498|USNO-B1.0 1309-00005197|VVO  32|WEB   246|[RHG95]    54" "" "" "" "00 17 06.3741" "+40 56 53.870" "High proper-motion Star" M0.5V 68.090 0.0000100 9.0 "" "" ""
"HD   1320" "" "LTT   135|CD-44    52|Ci 20   18|CPC  0   103|CPD-44    27|Gaia DR1 4991747399573388672|GC   338|GCRV 50231|GEN# +1.00001320|GJ  9007|GJ    14.1|HD   1320|HIC   1382|HIP   1382|2MASS J00171653-4351097|NLTT   868|PLX   48|PLX   48.00|PPM 304742|SAO 215036|SKY#   510|TYC 7530-353-1|UBV     203|UBV M   7273|uvby98 100001320|WEB   249" "" "" "HD 1320" "00 17 16.5269" "-43 51 09.835" "High proper-motion Star" G2V 27.800 0.0000380 7.980000019073486 "" "" ""
"V* GX And" "" "V* GX And|** GRB   34A|AC2000 1406215|ADS   246 A|AG+43   37|AKARI-IRC-V1 J0018248+440125|ASCC  373571|BD+43    44|CCDM J00184+4401A|Ci 20   19|CSI+43    44  4|CSI+43    44  1|DO 23070|Gaia DR1 385334123516493568|GAT 1029|GC   358|GCRV   161|GEN# +1.10001326|G 171-47|GJ    15 A|Gmb   34|HD   1326|HIC   1475|HIP   1475|JP11   170|JP11   360|LFT   31|LHS     3|LSPM J0018+4401W|LTT 10108|2MASS J00182256+4401222|MCC  85|NLTT   919|8pc 280.27A|PLX   49|PM 00155+4344|PPM  42798|SAO  36248|StKM 2-24a|SV* SVS  2042|TYC 2794-157-1|UBV     205|UBV     207|UCAC4 671-001465|USNO-B1.0 1340-00005988|USNO 787|VVO 124|WDS J00184+4401A|WEB   265|WISE J001825.71+440126.8|Zkh   5|[GKL99]   9|[GS83]  66|[RHG95]    60" "" "" "HD 1326" "00 18 22.8865" "+44 01 22.647" "Flare Star" M2V 280.740 0.0000390 8.130000114440918 "" "" ""
"V* GQ And" "" "V* GQ And|** GRB   34B|ADS   246 B|ASCC  373580|BD+43    44B|CCDM J00184+4401B|CSI+43    44  3|GCRV   162|GEN# +1.00001326C|G 171-48|GJ    15 B|HD   1326B|JP11   171|LFT   32|LHS     4|LSPM J0018+4401E|LTT 10109|2MASS J00182549+4401376|NLTT   923|8pc 280.27B|PM 00156+4345|PM J00184+4401|StKM 2-24b|SV* SVS  1804|WDS J00184+4401B|WEB   266|Zkh   6|[GKL99]  10|[GS83]  69|[RHG95]    61" "" "" "HD 1326B" "00 18 25.498" "+44 01 37.64" "Flare Star" M3.5Ve 279.300 0.0000370 11.039999961853027 4.0000 pc ST-L
"GSC 02794-01389" "" "GJ    15 C|** GRB   34C|ADS   246 C|CCDM J00184+4401C|CSI+43    44  2|Gaia DR1 385336494338441216|GSC 02794-01389|2MASS J00180010+4400293|TYC 2794-1389-1|UBV     206|UCAC2  46878508|UCAC3 269-3265|UCAC4 671-001438|WDS J00184+4401C|Zkh   7" "" "" "" "00 18 00.0967" "+44 00 29.295" Star M5V 3.570 "" 11.710000038146973 "" "" ""
"GJ    16" "" "GJ    16|AC +09     2-34|CSI+09-00157|GALEX 6380978543887648381|GSC 00598-01206|HIC   1463|HIP   1463|2MASS J00181659+1012100|MCC 356|PLX   51.01|StKM 2-25|TYC  598-1206-1|UCAC4 502-000459|[RHG95]    62" "" "" "" "00 18 16.5896" "+10 12 10.035" Star M1V 61.210 -0.0000500 10.86400032043457 16.3400 pc ST-L
"HD   1461" "" "LTT   149|BD-08    38|Ci 20   21|GC   378|GCRV 50265|GEN# +1.00001461|GJ    16.1|GJ  9009|HD   1461|HERZ 10066|HIC   1499|HIP   1499|HR    72|2MASS J00184182-0803105|N30   51|NLTT   950|PLX   52|PLX   52.00|PPM 182101|SAO 128690|SKY#   551|SPOCS   13|TD1   152|TYC 5261-789-1|UBV     224|UBV M   7296|uvby98 100001461|WEB   280|YZ  98    49" "" "" "HD 1461" "00 18 41.8672" "-08 03 10.802" "High proper-motion Star" G3VFe0.5 43.020 -0.0000340 6.460000038146973 "" "" ""
"* zet Tuc" "" "LHS     5|* zet Tuc|AKARI-IRC-V1 J0020061-645221|Ci 20   22|CPC 21    53|CPD-65    13|FK5   10|GC   401|GCRV   185|GEN# +1.00001581|GJ    17|HD   1581|HIC   1599|HIP   1599|HR    77|IRAS 00176-6509|IRAS F00176-6509|JP11   371|LFT   36|LPM  16|LTT   167|2MASS J00200446-6452282|N30   57|NLTT  1045|PLX   54|PLX   54.00|PM 00175-6510|PPM 351761|ROT    82|SAO 248163|SKY#   585|SPOCS   14|TD1   161|TYC 8843-1706-1|UBV     236|UBV M   7307|uvby98 100001581|WEB   286|WISE J002006.98-645216.9|Zkh   8" "" "" "HD 1581" "00 20 04.2599" "-64 52 29.254" "High proper-motion Star" F9.5V 116.460 0.0000290 4.230000019073486 "" "" ""
"CD-46    76" "" "LHS  1061|CD-46    76|CF    86|Ci 20   23|CPD-46    29|Gaia DR1 4978671079582592512|GCRV 20424|GEN# -0.04600076|GJ  9010|GJ    17.1|HIC   1696|HIP   1696|LFT   37|LPM  17|LTT   178|2MASS J00211961-4544465|NLTT  1112|NSV   139|PLX   57|PLX   57.00|PM J00213-4544|Smethells 162|TYC 8023-1110-1|UBV M   6317|UCAC4 222-000328|[RHG95]    69" "" "" "" "00 21 19.6196" "-45 44 47.109" "High proper-motion Star" K7.0 57.120 0.0000100 10.394000053405762 17.1300 pc ST-L
